,ID,Artista_original,Artista_similar,Coincidencia
0,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La T y la M,1
1,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Banda XXI,0.708899
2,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Ráfaga,0.594358
3,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Damas Gratis,0.589788
4,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Los Palmeras,0.527664
5,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Nestor En Bloque,0.489649
6,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Mario Luis,0.487348
7,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Big One,0.483090
8,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Jambao,0.481756
9,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Leo Mattioli,0.454463
10,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Yerba Brava,0.397117
11,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Agrupación Marilyn,0.393259
12,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La Delio Valdez,0.388412
13,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Los Del Fuego,0.387304
14,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Maria Becerra,0.348244
15,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Repiola,0.345234
16,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La Champions Liga,0.343976
17,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Alan Gomez,0.323787
18,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Grupo Red,0.314270
19,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Gilda,0.307369
20,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,MANO ARRIBA,0.285023
21,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Los Ángeles Azules,0.279832
22,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,EL DIPY,0.273717
23,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Ecko,0.272160
24,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Tiago PZK,0.257553
25,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La Base,0.253911
26,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,La Cumbia,0.252473
27,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,NENE MALO,0.241877
28,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Grupo Sombras,0.228534
29,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,De la calle,0.220857
30,0lAWpj5szCSwM4rUMHYmrr,Ke Personajes,Callejero Fino,0.204075
