,Posición,P+,Artista y canción,Dias,Posición más alta (xdias),Streams,Streams+,7Day,7Day+,Total
0,1,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",21,1(x6),"660,006","+38,366","3,802,089","+262,607","6,857,108"
1,2,=,Alleh - capaz (merengueton) (w/ Yorghaki),103,1(x55),"480,355","-10,773","3,243,054","+4,702","59,041,810"
2,3,=,"JC Reyes - NINFO (w/ De La Rose, MC Menor JP)",14,3(x4),"433,030","+60,732","2,423,481","+207,992","3,536,637"
3,4,=,Beéle - Mi Refe (w/ Ovy On The Drums),94,3(x2),"373,867","+11,132","2,378,978","+17,936","33,423,928"
4,5,=,Bad Bunny - BAILE INoLVIDABLE,68,2(x21),"344,098","+4,629","2,434,944","-35,406","36,266,309"
5,6,=,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",68,2(x2),"320,848","-1,251","2,280,605","-51,002","35,673,468"
6,7,=,Bad Gyal - Angelito (w/ Trueno),56,3(x1),"312,057","+13,144","2,083,649","+46,447","23,161,196"
7,8,=,Bad Bunny - NUEVAYoL,68,1(x7),"286,291",+554,"2,038,688","-14,389","39,627,708"
8,9,=,Yan Block - 111,21,7,"270,023","-3,320","1,903,191","-13,982","4,937,873"
9,10,+9,JC Reyes - DESEO (w/ Sky Rompiendo),21,9,"258,819","+55,508","1,576,216","-19,675","4,913,276"
10,11,-1,Bad Bunny - DtMF,68,1(x21),"255,642",+466,"1,823,447","-24,951","39,029,298"
11,12,-1,Yapi - DONDE TE ESCONDES?,56,7,"231,693","-2,100","1,697,793","-40,546","17,819,538"
12,13,=,Dani Fernández - Me has invitado a bailar,203,13,"226,954","+4,504","1,295,352","+76,817","32,039,215"
13,14,-2,Quevedo - GRAN VÍA (w/ Aitana),113,1(x21),"222,596","-1,292","1,566,582","-28,179","43,388,814"
14,15,+10,Kapo - ILY (w/ Myke Towers),7,15,"216,532","+26,260","1,058,720","+216,532","1,058,720"
